 SL NO.,Comment,Emotion
206,মুসলমান ধর্ম ত্যাগ করে হিন্দু ধর্মের ছেলেকে বিয়ে করা এরকম পতিতা বাংলাদেশের অনেক আছে তোমার মুখে মুতি করলেও মানুষের রাগ শোধ হবে না ব***** কোথাকার মুসলমান হিসেবে বাংলাদেশের মানুষ তোমাকে বয়কট করবে,Negative
207,"তোমার জন্য বাল রেখে দিছি,,,,দেখবো তুমি কেমন বাল কাটতে পারো",Negative
208,ফালতু,Negative
209,যত সব ফালতু কান্ড। চরিত্রহীন নারীর এমন হয়,Negative
210,তুমি বাংলাদেশ খানকি কল্যাণ সমিতির সভাপতি,Negative
211,ন্যূনতম লজ্জা শরম থাকলে আবার এগুলো নিয়ে কথা বলতে আসতে না ইফতেখার ফাহমি আরো কত কী তাদের সাথে নষ্টামি করার সময় এগুলো মনে ছিল না ছিঃ ছিঃ ছিঃ থু থু দেওয়া উচিত তোমার মুখের উপর,Negative
212,"আল্লাহর ওয়াস্তে এগুলা বাদ দেন,,আলোর পথে আসার চেষ্টা করুন,,আল্লাহ আপনাদের সহিহ বুঝ দিক",Negative
213,এই মাগীটাকে দেখলে আমার শরীর চুলকায়,Negative
214,সালি বেশি বাজে বলছে।।।।,Negative
215,"পতিতার শেষ পর্যন্ত আকাটা সোনা নেওয়ার দরকার পড়লো,",Negative
216,কুত্তা দিয়ে চোদানো দরকার তোমায়,Negative
217,বান্দর বান্দর লাগতেছে,Negative
218,মাগী,Negative
219,এই ছেরিটা কে ঐ বুড়ো দাদা বাবুর সাথে দেখলে ওদের মুখে পাদ দিতে ইচ্ছে করে।,Negative
220,প্রোগ্রামটি সুন্দর ছিল। মনোযোগ দিয়ে দেখা শেষ করলাম। ‌দুজনকে অসংখ্য ধন্যবাদ।,Negative
221,বেশ্যা গো আবার সারপ্রাইজ,Negative
222,ভাতারি মিথিলা,Negative
223,ইভ্যালির মার্কেটিং আইডিয়া দারুণ।ইনিশিয়েটিভ।,Negative
224,তুরার মারে সুদ্দি হবর হইস,Negative
225,বালের সারপ্রাইজ,Negative
226,খানকি মিথিলা অাকাটা সোনায় মজা কেমন,Negative
227,"অসভ্য, খারাপ, বাজে, কুৎসিত, নোংরা চরিত্রের নারী",Negative
228,তোর রাস্তার কুত্তা দিয়ে চো*দা- নো উচিত,Negative
229,"তাহসান কি মাদাচুত নাকি? সরম লজ্জা মনে হয় বিক্রি করে দিছে,,,আর মিথিলা আপু আপনি জনি দার সাথে যোগাযোগ করেন.",Negative
230,তাহসান আমার পছন্দের মানুষ,Negative
231,নোটি মিথিলা,Negative
232,তোর মাকে চুদি,Negative
233,বেশ্যা মাগী তোর মাকে চুদি,Negative
234,তুই বারোবাতারি ঐ থাকবি,Negative
